Item_No,MTurk_Overall_F3_Cog,MTurk_Overall_F4_PosApp,MTurk_Overall_F5_Prog,MTurk_Overall_F7_Flow
294,0.587983642,,,
135,0.584963767,,,
163,0.574928088,,,
22,0.574505364,,,
80,0.567285994,,,
196,0.566299854,,,
52,0.553422065,,,
308,0.545398351,,,
310,0.524981997,,,
311,0.510551697,,,
291,0.510366523,,,
296,0.49650935,,,
210,0.483528585,,,
261,0.473346059,,,
23,0.473288343,,,
90,0.459746036,,,
89,0.455615037,,,
187,0.450157394,,,
259,0.448208451,,0.34455992,
164,0.44005425,,,
243,0.430397886,,0.338557356,
258,0.424266005,,0.357718647,
197,0.405465846,,,
272,0.405439338,,0.384400914,
32,0.402266683,,,
252,0.392465832,,,
97,0.391196672,,,
276,0.379193042,,,
117,0.344374293,,,
268,0.343930439,,,
151,0.31488085,,,0.26094645
59,0.314114174,,,
33,0.294666824,0.266879766,,
7,0.285050173,,,
171,0.250200759,,,
95,,,,
124,,0.761358496,,
12,,0.75218486,,
181,,0.751541551,,
94,,0.742344539,,
45,,0.73880976,,
99,,0.733641885,,
101,,0.72656737,,
155,,0.722429375,,
68,,0.717003671,,
93,,0.706292346,,
42,,0.698431464,,
36,,0.689020418,,
129,,0.686595028,,
5,,0.683118954,,
121,,0.667139909,,
73,,0.660915597,,
71,,0.652998803,,
96,,0.651456171,,
178,,0.634837221,,
127,,0.63256882,,
8,,0.6188583,,
149,,0.614033515,,
152,,0.610406956,,
66,,0.594353362,,
176,,0.588046493,,
39,,0.53597266,,
15,,0.493269715,,
122,,0.479815952,,
222,,0.472716517,,
201,,0.462816513,,
37,,0.44152938,,
282,,0.418614588,,
65,,0.403344278,,
255,,0.402461164,,
6,,0.398515967,,
87,0.287538909,0.37240025,,
44,,0.366742524,,
194,,0.306303768,,
150,0.250932161,0.292394586,,
91,,0.271226515,,
88,,,,
283,,,0.646475317,
47,,,0.643276549,
242,,,0.607274498,
273,,,0.600504382,
160,,,0.581022196,
103,,,0.568554093,
18,,,0.542609801,
158,,,,
100,,,,
72,,,,
162,,,,0.548248546
21,,,,0.538672967
50,,,,0.50002058
78,,,,0.471008669
31,,,,0.430118028
217,,,,0.413249526
106,,,,0.376914236
60,,,,0.358932175
116,0.274321001,0.313319012,,0.357566787
144,0.295045963,,,0.348250013
235,,0.31232663,,0.328054345
278,,,,0.290344697
195,,0.256849585,,0.277593179
